Sample	Unique Reads	Duplicate Reads
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.fp2_repr.R1	13929003.0	295345.0
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.fp2_repr.R2	13904294.0	320054.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.fp2_repr.R1	13525566.0	132892.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.fp2_repr.R2	13517919.0	140539.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.fp2_repr.R1	15155761.0	130773.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.fp2_repr.R2	15145764.0	140770.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.fp2_repr.R1	21055.0	103.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.fp2_repr.R2	21055.0	103.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.fp2_repr.R1	651684.0	5537.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.fp2_repr.R2	651687.0	5534.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1.clmp.fp2_repr.R1	17936969.0	241962.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1.clmp.fp2_repr.R2	17924150.0	254781.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-1.clmp.fp2_repr.R1	16812007.0	366165.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-1.clmp.fp2_repr.R2	16809464.0	368708.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-1.clmp.fp2_repr.R1	3009655.0	34813.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-1.clmp.fp2_repr.R2	3005892.0	38576.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-1.clmp.fp2_repr.R1	806771.0	5470.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-1.clmp.fp2_repr.R2	806226.0	6015.0
Zdi-ADup_010-Ex1-10G-lcwgs-1-1.clmp.fp2_repr.R1	185038.0	1937.0
Zdi-ADup_010-Ex1-10G-lcwgs-1-1.clmp.fp2_repr.R2	185080.0	1895.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-1.clmp.fp2_repr.R1	13402626.0	147110.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-1.clmp.fp2_repr.R2	13388935.0	160801.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-1.clmp.fp2_repr.R1	161861.0	4854.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-1.clmp.fp2_repr.R2	161734.0	4981.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-1.clmp.fp2_repr.R1	860447.0	9650.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-1.clmp.fp2_repr.R2	859668.0	10429.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-1.clmp.fp2_repr.R1	5381068.0	111652.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-1.clmp.fp2_repr.R2	5374486.0	118234.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-1.clmp.fp2_repr.R1	11959039.0	103542.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-1.clmp.fp2_repr.R2	11949981.0	112600.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-1.clmp.fp2_repr.R1	18366708.0	323765.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-1.clmp.fp2_repr.R2	18330303.0	360170.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-1.clmp.fp2_repr.R1	11268333.0	126277.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-1.clmp.fp2_repr.R2	11265796.0	128814.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-1.clmp.fp2_repr.R1	17900063.0	249152.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-1.clmp.fp2_repr.R2	17885433.0	263782.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-1.clmp.fp2_repr.R1	3457818.0	30896.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-1.clmp.fp2_repr.R2	3455642.0	33072.0
