Sample	Unique Reads	Duplicate Reads
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.r1	15107240.0	285849.0
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.r2	15008256.0	384833.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.r1	14291930.0	107517.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.r2	14242408.0	157039.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.r1	16011824.0	113605.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.r2	15965861.0	159568.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.r1	22715.0	100.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.r2	22706.0	109.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.r1	692308.0	4661.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.r2	690801.0	6168.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1.clmp.r1	19117680.0	233805.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1.clmp.r2	19051914.0	299571.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-1.clmp.r1	18029628.0	317116.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-1.clmp.r2	17943565.0	403179.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-1.clmp.r1	3301687.0	28776.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-1.clmp.r2	3285760.0	44703.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-1.clmp.r1	853431.0	4418.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-1.clmp.r2	851298.0	6551.0
Zdi-ADup_010-Ex1-10G-lcwgs-1-1.clmp.r1	197083.0	2411.0
Zdi-ADup_010-Ex1-10G-lcwgs-1-1.clmp.r2	196987.0	2507.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-1.clmp.r1	14230829.0	125670.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-1.clmp.r2	14177859.0	178640.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-1.clmp.r1	256592.0	4628.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-1.clmp.r2	255962.0	5258.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-1.clmp.r1	1200702.0	12335.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-1.clmp.r2	1196570.0	16467.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-1.clmp.r1	6081455.0	110239.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-1.clmp.r2	6044813.0	146881.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-1.clmp.r1	12613964.0	101708.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-1.clmp.r2	12587460.0	128212.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-1.clmp.r1	19938953.0	287382.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-1.clmp.r2	19797817.0	428518.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-1.clmp.r1	11873266.0	107089.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-1.clmp.r2	11839760.0	140595.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-1.clmp.r1	19267143.0	218379.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-1.clmp.r2	19181501.0	304021.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-1.clmp.r1	3617279.0	24801.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-1.clmp.r2	3607807.0	34273.0
Zdi-ADup_020-Ex1-12A-lcwgs-1-1.clmp.r1	12102.0	61.0
Zdi-ADup_020-Ex1-12A-lcwgs-1-1.clmp.r2	12097.0	66.0
Zdi-ADup_021-Ex1-12B-lcwgs-1-1.clmp.r1	81748.0	705.0
Zdi-ADup_021-Ex1-12B-lcwgs-1-1.clmp.r2	81691.0	762.0
Zdi-ADup_022-Ex1-12C-lcwgs-1-1.clmp.r1	36266704.0	476231.0
Zdi-ADup_022-Ex1-12C-lcwgs-1-1.clmp.r2	36070530.0	672405.0
Zdi-ADup_023-Ex1-12D-lcwgs-1-1.clmp.r1	5059043.0	54895.0
Zdi-ADup_023-Ex1-12D-lcwgs-1-1.clmp.r2	5048858.0	65080.0
Zdi-ADup_024-Ex1-12E-lcwgs-1-1.clmp.r1	3438174.0	51521.0
