Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.r1	Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15393089.0	0.0	33-150	41.0	98.1429993758993	94.97351330847239	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.r2	Zdi-ADup_001-Ex1-11B-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15393089.0	0.0	33-150	41.0	97.49996019420199	95.02350418424788	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.r1	Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14399447.0	0.0	33-150	40.0	99.25332183900922	83.4509884997667	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.r2	Zdi-ADup_002-Ex1-9G-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14399447.0	0.0	33-150	40.0	98.9094050199845	83.49592029471687	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.r1	Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16125429.0	0.0	33-150	41.0	99.29548870364107	82.83523061619012	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.r2	Zdi-ADup_003-Ex1-9H-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16125429.0	0.0	33-150	41.0	99.01045206489684	82.87790960476153	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.r1	Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22815.0	0.0	33-150	40.0	99.56169186938418	78.21503396888012	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.r2	Zdi-ADup_004-Ex1-10A-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22815.0	0.0	33-150	40.0	99.5178610563226	78.25299145299145	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.r1	Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	696969.0	0.0	33-150	40.0	99.33123421627388	77.8310814397771	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.r2	Zdi-ADup_005-Ex1-10B-lcwgs-1-1.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	696969.0	0.0	33-150	40.0	99.11494758491389	77.88005779310127	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
