Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Zdi-ADup_001-Ex1-11B-lcwgs-1-1	14.4002	0.967328	3687027470.0	0.411953	92.24887044793533	85.34117205853164	
Zdi-ADup_002-Ex1-9G-lcwgs-1-1	9.41212	0.970881	2821309882.0	0.40254	93.9775501722984	92.29660892975163	
Zdi-ADup_003-Ex1-9H-lcwgs-1-1	8.86599	0.970799	3113143696.0	0.411324	93.32345623455218	91.9449719770272	
Zdi-ADup_004-Ex1-10A-lcwgs-1-1	6.35951	0.966899	3732337.0	0.403819	64.69811769054094	77.8412840888091	
Zdi-ADup_005-Ex1-10B-lcwgs-1-1	6.67997	0.968528	125619009.0	0.411641	94.01492183056646	94.8788496934576	
Zdi-ADup_006-Ex1-10C-lcwgs-1-1	12.129	0.966192	4317528862.0	0.393095	87.62666715222018	81.78342644078982	
Zdi-ADup_007-Ex1-10D-lcwgs-1-1	8.79918	0.968152	3976291778.0	0.440917	91.36103119146351	92.86882216119162	
Zdi-ADup_008-Ex1-10E-lcwgs-1-1	12.4046	0.967169	693061271.0	0.386408	92.68273371348089	87.44345747691294	
Zdi-ADup_009-Ex1-10F-lcwgs-1-1	7.547370000000001	0.968028	151377039.0	0.422083	93.6908304295055	92.12971301045378	
Zdi-ADup_010-Ex1-10G-lcwgs-1-1	4.89688	0.961764	36272300.0	0.417622	90.51196102517125	87.42957673169411	
Zdi-ADup_011-Ex1-10H-lcwgs-1-1	9.98494	0.968148	2862338823.0	0.420139	89.89707357729648	89.53109963365694	
Zdi-ADup_012-Ex1-11A-lcwgs-1-1	19.8577	0.963013	75655616.0	0.553363	76.13252340536613	52.84650642133657	
Zdi-ADup_013-Ex1-12F-lcwgs-1-1	13.1993	0.967381	279216727.0	0.496536	69.28329947132875	68.53897776092573	
Zdi-ADup_014-Ex1-11C-lcwgs-1-1	14.417399999999999	0.966561	1433563241.0	0.467818	73.36682221017819	78.32234560653335	
Zdi-ADup_015-Ex1-11D-lcwgs-1-1	8.037329999999999	0.970189	2465209480.0	0.413385	94.01739920314284	91.64990670366046	
Zdi-ADup_016-Ex1-11E-lcwgs-1-1	15.629999999999999	0.96833	4734280299.0	0.392736	92.03941257148335	85.28043953534593	
Zdi-ADup_017-Ex1-11F-lcwgs-1-1	9.25043	0.970847	2367476303.0	0.429331	93.11130403217444	92.12059424826768	
Zdi-ADup_018-Ex1-11G-lcwgs-1-1	11.2166	0.969764	4167378457.0	0.42859	92.68489130722347	88.97985008157997	
Zdi-ADup_019-Ex1-11H-lcwgs-1-1	9.14261	0.970496	698522611.0	0.39634	87.71189096965374	88.67524833918142	
Zdi-ADup_020-Ex1-12A-lcwgs-1-1	5.90339	0.962846	2534617.0	0.441648	88.89495970495834	74.46728588990575	
Zdi-ADup_021-Ex1-12B-lcwgs-1-1	5.44958	0.957411	16096500.0	0.420942	90.94811005608082	82.40692000890814	
Zdi-ADup_022-Ex1-12C-lcwgs-1-1	11.8499	0.969915	8168065640.0	0.414125	91.73355765001794	90.34383964096183	
Zdi-ADup_023-Ex1-12D-lcwgs-1-1	9.59939	0.969176	1024247965.0	0.428386	86.96869799811928	87.65944898617259	
Zdi-ADup_024-Ex1-12E-lcwgs-1-1	14.7155	0.965038	720564466.0	0.481689	79.10433578534905	78.78470193162809	
Zdi-ADup_025-Ex1-2A-lcwgs-1-1	5.94896	0.968716	22135640.0	0.386761	89.68648390657161	90.22283208543388	
Zdi-ADup_026-Ex1-12G-lcwgs-1-1	7.83713	0.970998	189402335.0	0.447964	92.75557353103777	93.39490744243157	
Zdi-ADup_027-Ex1-12H-lcwgs-1-1	11.919	0.973211	4566742521.0	0.451913	93.72871321608915	95.75934689248473	
Zdi-ADup_028-Ex1-9F-lcwgs-1-1	7.53264	0.971079	1537084614.0	0.397571	89.53638259079752	91.64139709247364	
Zdi-ADup_029-Ex1-1A-lcwgs-1-1	6.300070000000001	0.960087	9897426.0	0.401948	95.4263999537046	75.12683011515982	
Zdi-ADup_030-Ex1-1B-lcwgs-1-1	7.2229399999999995	0.966141	23981515.0	0.392557	96.69641906991593	88.42649249760562	
Zdi-ADup_031-Ex1-1C-lcwgs-1-1	6.8388599999999995	0.96005	39024061.0	0.396728	95.07970049152465	80.13344664431071	
Zdi-ADup_032-Ex1-1D-lcwgs-1-1	13.230400000000001	0.966937	511053817.0	0.430982	92.7193609340298	84.47108521046968	
Zdi-ADup_033-Ex1-1E-lcwgs-1-1	6.83161	0.966999	48132781.0	0.381672	93.54483282674772	89.36186043566363	
Zdi-ADup_034-Ex1-1F-lcwgs-1-1	7.2079	0.964567	55533607.0	0.385034	94.81643608589134	86.0295972042081	
Zdi-ADup_035-Ex1-1G-lcwgs-1-1	6.641909999999999	0.970033	197177172.0	0.373048	91.70349482376446	92.35367206935962	
Zdi-ADup_036-Ex1-1H-lcwgs-1-1	6.35053	0.964367	63234040.0	0.389888	85.8802403906458	84.03285896304577	
Zdi-ADup_037-Ex1-3D-lcwgs-1-1	6.536550000000001	0.966964	50706188.0	0.369615	91.26203405781435	85.63130317559232	
Zdi-ADup_038-Ex1-2B-lcwgs-1-1	6.47652	0.96742	24711343.0	0.375777	94.13694492244079	90.20296619087117	
Zdi-ADup_039-Ex1-2C-lcwgs-1-1	6.73406	0.963415	43522701.0	0.377138	94.0274380100593	84.97054621602051	
Zdi-ADup_040-Ex1-2D-lcwgs-1-1	6.34323	0.964139	51176681.0	0.378574	89.7947833995471	85.44986956962586	
Zdi-ADup_041-Ex1-2E-lcwgs-1-1	6.19218	0.965311	24166550.0	0.378101	91.75318797753108	86.25775364055053	
Zdi-ADup_042-Ex1-2F-lcwgs-1-1	12.939300000000001	0.971303	3379257100.0	0.374146	92.12770134528544	90.51541317486091	
Zdi-ADup_043-Ex1-2G-lcwgs-1-1	8.67367	0.969312	219728776.0	0.375974	87.97286672155906	88.75156953764437	
Zdi-ADup_044-Ex1-2H-lcwgs-1-1	11.3203	0.969832	1404120681.0	0.370204	89.48980196016169	90.67696426782686	
Zdi-ADup_045-Ex1-3A-lcwgs-1-1	6.306839999999999	0.972395	42218679.0	0.377495	93.39082464094353	94.00367775276625	
Zdi-ADup_046-Ex1-3B-lcwgs-1-1	6.45077	0.969026	23422358.0	0.364518	88.1460825322277	87.76418140456447	
Zdi-ADup_047-Ex1-3C-lcwgs-1-1	8.79463	0.968668	317226633.0	0.389437	93.95046653906233	93.32020108882733	
Zdi-CDup_001-Ex1-5D-lcwgs-1-1	9.50611	0.963965	297981869.0	0.458364	51.4441857245183	64.8718363598809	
Zdi-CDup_002-Ex1-5E-lcwgs-1-1	8.69074	0.963336	32097336.0	0.444354	74.9644860157922	69.34105416574423	
Zdi-CDup_003-Ex1-5F-lcwgs-1-1	11.2454	0.964064	177030594.0	0.466601	83.39106359245075	73.32088652569382	
Zdi-CDup_004-Ex1-5G-lcwgs-1-1	9.831570000000001	0.963775	32856626.0	0.449354	70.39639967654668	67.86656280032683	
Zdi-CDup_005-Ex1-5H-lcwgs-1-1	13.875699999999998	0.963663	632472146.0	0.449778	93.00753134731589	66.50891503743117	
Zdi-CDup_006-Ex1-6A-lcwgs-1-1	14.5431	0.961721	1440987489.0	0.437551	95.45459830489304	60.65210080886702	
Zdi-CDup_007-Ex1-6B-lcwgs-1-1	9.69897	0.965667	285626154.0	0.451837	86.02917367312712	77.7740558864317	
Zdi-CDup_008-Ex1-6C-lcwgs-1-1	11.251	0.961383	135660118.0	0.436885	72.8281219405229	61.15095309689217	
Zdi-CDup_010-Ex1-6D-lcwgs-1-1	13.385900000000001	0.961499	1000483322.0	0.446545	66.19230171208919	58.693496489259324	
Zdi-CDup_011-Ex1-6E-lcwgs-1-1	13.8789	0.96331	719657855.0	0.432672	80.54022023338747	61.214189142705756	
Zdi-CDup_012-Ex1-6F-lcwgs-1-1	12.012599999999999	0.9626	158834431.0	0.454192	49.415186268468005	61.50370043901573	
Zdi-CDup_013-Ex1-6G-lcwgs-1-1	10.7325	0.961492	81435811.0	0.421803	77.53398708759508	60.94483483123297	
Zdi-CDup_014-Ex1-6H-lcwgs-1-1	9.98193	0.96546	806817092.0	0.441236	81.62498527223457	75.04449635026525	
Zdi-CDup_015-Ex1-7A-lcwgs-1-1	8.98527	0.960797	76980457.0	0.434165	77.9329771653019	66.27481941947939	
Zdi-CDup_016-Ex1-7B-lcwgs-1-1	9.883329999999999	0.965666	606674847.0	0.454223	89.83313895919346	79.35672821574381	
Zdi-CDup_017-Ex1-7C-lcwgs-1-1	9.099540000000001	0.965634	157262779.0	0.44695	81.89845689150815	75.2337792843662	
