Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
Zdi-ADup_001-Ex1-11B-lcwgs-1-1	40380194.0	431360.0	2188.0	98998.0	2860364.0	0.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-1	34857106.0	298214.0	1638.0	61578.0	1872350.0	0.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-1	38755098.0	313844.0	1714.0	79600.0	2377458.0	0.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-1	49014.0	588.0	0.0	872.0	25284.0	0.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-1	1679460.0	14860.0	56.0	2554.0	89446.0	0.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-1	47739690.0	532908.0	2458.0	192862.0	6012860.0	0.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-1	52330104.0	518888.0	2126.0	124406.0	4302840.0	0.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-1	7749170.0	92456.0	462.0	19918.0	498958.0	0.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-1	1914366.0	18084.0	74.0	3398.0	107358.0	0.0
Zdi-ADup_010-Ex1-10G-lcwgs-1-1	434738.0	5374.0	24.0	1180.0	38994.0	0.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-1	35069724.0	353568.0	1498.0	111930.0	3474254.0	0.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-1	647466.0	7402.0	70.0	7010.0	188498.0	0.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-1	2876062.0	40674.0	158.0	36952.0	1197316.0	0.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-1	16398440.0	212158.0	812.0	172518.0	5567374.0	0.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-1	30495886.0	280906.0	1442.0	49498.0	1608696.0	0.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-1	52236490.0	595548.0	2628.0	148982.0	3770832.0	0.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-1	29149274.0	238182.0	1284.0	57794.0	1859304.0	0.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-1	49187312.0	474434.0	2270.0	104360.0	3301020.0	0.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-1	8283104.0	61998.0	444.0	34974.0	1063016.0	0.0
Zdi-ADup_020-Ex1-12A-lcwgs-1-1	26032.0	324.0	0.0	134.0	2794.0	0.0
Zdi-ADup_021-Ex1-12B-lcwgs-1-1	179688.0	3660.0	12.0	484.0	13728.0	0.0
Zdi-ADup_022-Ex1-12C-lcwgs-1-1	100470014.0	1033232.0	4564.0	235854.0	7780066.0	0.0
Zdi-ADup_023-Ex1-12D-lcwgs-1-1	12363324.0	131450.0	582.0	51004.0	1669472.0	0.0
Zdi-ADup_024-Ex1-12E-lcwgs-1-1	8674322.0	102906.0	370.0	70112.0	2117962.0	0.0
Zdi-ADup_025-Ex1-2A-lcwgs-1-1	300656.0	2632.0	8.0	954.0	30980.0	0.0
Zdi-ADup_026-Ex1-12G-lcwgs-1-1	2550244.0	30610.0	98.0	4882.0	163590.0	0.0
Zdi-ADup_027-Ex1-12H-lcwgs-1-1	60826092.0	573254.0	2434.0	99914.0	3394206.0	0.0
Zdi-ADup_028-Ex1-9F-lcwgs-1-1	20319940.0	208914.0	824.0	69256.0	2095684.0	0.0
Zdi-ADup_029-Ex1-1A-lcwgs-1-1	98940.0	970.0	2.0	166.0	3604.0	0.0
Zdi-ADup_030-Ex1-1B-lcwgs-1-1	290770.0	2016.0	10.0	294.0	7614.0	0.0
Zdi-ADup_031-Ex1-1C-lcwgs-1-1	413958.0	4320.0	24.0	794.0	16284.0	0.0
Zdi-ADup_032-Ex1-1D-lcwgs-1-1	5539954.0	50976.0	354.0	14072.0	369614.0	0.0
Zdi-ADup_033-Ex1-1E-lcwgs-1-1	590904.0	4704.0	38.0	1338.0	34696.0	0.0
Zdi-ADup_034-Ex1-1F-lcwgs-1-1	631614.0	5104.0	34.0	1212.0	28180.0	0.0
Zdi-ADup_035-Ex1-1G-lcwgs-1-1	2651060.0	19150.0	126.0	7308.0	213260.0	0.0
Zdi-ADup_036-Ex1-1H-lcwgs-1-1	780526.0	7838.0	32.0	4036.0	116422.0	0.0
Zdi-ADup_037-Ex1-3D-lcwgs-1-1	574082.0	4120.0	32.0	1628.0	49186.0	0.0
Zdi-ADup_038-Ex1-2B-lcwgs-1-1	304164.0	2012.0	8.0	562.0	16362.0	0.0
Zdi-ADup_039-Ex1-2C-lcwgs-1-1	480452.0	4378.0	24.0	934.0	25182.0	0.0
Zdi-ADup_040-Ex1-2D-lcwgs-1-1	584494.0	4886.0	40.0	2022.0	59480.0	0.0
Zdi-ADup_041-Ex1-2E-lcwgs-1-1	275722.0	2150.0	22.0	760.0	21850.0	0.0
Zdi-ADup_042-Ex1-2F-lcwgs-1-1	40234896.0	282042.0	1864.0	96846.0	3057314.0	0.0
Zdi-ADup_043-Ex1-2G-lcwgs-1-1	2653976.0	21798.0	124.0	10652.0	330262.0	0.0
Zdi-ADup_044-Ex1-2H-lcwgs-1-1	17653238.0	141318.0	784.0	58864.0	1872332.0	0.0
Zdi-ADup_045-Ex1-3A-lcwgs-1-1	589128.0	3700.0	30.0	1116.0	36846.0	0.0
Zdi-ADup_046-Ex1-3B-lcwgs-1-1	288280.0	2186.0	10.0	1102.0	35470.0	0.0
Zdi-ADup_047-Ex1-3C-lcwgs-1-1	4110316.0	38868.0	170.0	7034.0	218594.0	0.0
Zdi-CDup_001-Ex1-5D-lcwgs-1-1	3173064.0	52434.0	162.0	84746.0	2857568.0	0.0
Zdi-CDup_002-Ex1-5E-lcwgs-1-1	325070.0	3304.0	22.0	3412.0	101824.0	0.0
Zdi-CDup_003-Ex1-5F-lcwgs-1-1	1833064.0	21376.0	124.0	10238.0	333352.0	0.0
Zdi-CDup_004-Ex1-5G-lcwgs-1-1	332554.0	3838.0	26.0	4366.0	131618.0	0.0
Zdi-CDup_005-Ex1-5H-lcwgs-1-1	5772598.0	60436.0	390.0	14134.0	359034.0	0.0
Zdi-CDup_006-Ex1-6A-lcwgs-1-1	12642910.0	135832.0	860.0	27094.0	438250.0	0.0
Zdi-CDup_007-Ex1-6B-lcwgs-1-1	3081916.0	30342.0	144.0	15978.0	454028.0	0.0
Zdi-CDup_008-Ex1-6C-lcwgs-1-1	1272032.0	14486.0	94.0	16434.0	443576.0	0.0
Zdi-CDup_010-Ex1-6D-lcwgs-1-1	9246490.0	121558.0	628.0	151468.0	4448988.0	0.0
Zdi-CDup_011-Ex1-6E-lcwgs-1-1	6602858.0	73022.0	440.0	53298.0	1468594.0	0.0
Zdi-CDup_012-Ex1-6F-lcwgs-1-1	1553990.0	27998.0	94.0	48792.0	1513888.0	0.0
Zdi-CDup_013-Ex1-6G-lcwgs-1-1	749856.0	8042.0	48.0	7536.0	201650.0	0.0
Zdi-CDup_014-Ex1-6H-lcwgs-1-1	8604346.0	93410.0	490.0	59426.0	1783642.0	0.0
Zdi-CDup_015-Ex1-7A-lcwgs-1-1	749204.0	7910.0	36.0	7226.0	196968.0	0.0
Zdi-CDup_016-Ex1-7B-lcwgs-1-1	6572002.0	62068.0	304.0	22770.0	658644.0	0.0
