Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Zdi-ADup_010-Ex1-10G-lcwgs-1-2.clmp.fp2_r2_screen	17164.0	9859.0	5207.0	2086.0	1546.0	384.0	270.0	113.0	1.0	0.0	76755.0	2406278.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-2.clmp.fp2_r1_screen	1588.0	1100.0	536.0	190.0	168.0	36.0	29.0	17.0	1.0	0.0	5723.0	247105.0
Zdi-ADup_011-Ex1-10H-lcwgs-1-2.clmp.fp2_r2_screen	1670.0	1092.0	519.0	168.0	162.0	38.0	36.0	12.0	0.0	0.0	5922.0	246874.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-2.clmp.fp2_r1_screen	46164.0	767039.0	21115.0	1798.0	197.0	28.0	44.0	383.0	0.0	0.0	309886.0	2241801.0
Zdi-ADup_012-Ex1-11A-lcwgs-1-2.clmp.fp2_r2_screen	45990.0	763947.0	21098.0	1746.0	176.0	25.0	38.0	362.0	1.0	0.0	310899.0	2244173.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-2.clmp.fp2_r1_screen	3833.0	22585.0	15492.0	321.0	192.0	39.0	56.0	19.0	2.0	0.0	20256.0	466222.0
Zdi-ADup_013-Ex1-12F-lcwgs-1-2.clmp.fp2_r2_screen	3782.0	22429.0	15481.0	334.0	189.0	39.0	52.0	24.0	0.0	0.0	20571.0	466116.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-2.clmp.fp2_r1_screen	9568.0	37871.0	2787.0	988.0	697.0	170.0	150.0	61.0	1.0	0.0	57943.0	1082789.0
Zdi-ADup_014-Ex1-11C-lcwgs-1-2.clmp.fp2_r2_screen	9640.0	37894.0	2746.0	988.0	641.0	172.0	168.0	61.0	0.0	0.0	58642.0	1082073.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-2.clmp.fp2_r1_screen	3232.0	895.0	768.0	413.0	301.0	71.0	81.0	7.0	0.0	0.0	11881.0	509176.0
Zdi-ADup_015-Ex1-11D-lcwgs-1-2.clmp.fp2_r2_screen	3227.0	884.0	821.0	396.0	303.0	67.0	81.0	11.0	0.0	0.0	12175.0	508860.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-2.clmp.fp2_r1_screen	4067.0	4232.0	945.0	451.0	290.0	84.0	93.0	13.0	0.0	0.0	14015.0	479766.0
Zdi-ADup_016-Ex1-11E-lcwgs-1-2.clmp.fp2_r2_screen	4047.0	4197.0	894.0	473.0	275.0	89.0	71.0	15.0	1.0	0.0	14380.0	479514.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-2.clmp.fp2_r1_screen	5267.0	1594.0	1479.0	617.0	514.0	126.0	94.0	22.0	0.0	0.0	19764.0	885954.0
Zdi-ADup_017-Ex1-11F-lcwgs-1-2.clmp.fp2_r2_screen	5267.0	1597.0	1495.0	596.0	510.0	131.0	83.0	29.0	0.0	0.0	20136.0	885587.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-2.clmp.fp2_r1_screen	9000.0	7277.0	23066.0	1234.0	858.0	204.0	148.0	50.0	0.0	0.0	37457.0	1545578.0
Zdi-ADup_018-Ex1-11G-lcwgs-1-2.clmp.fp2_r2_screen	9245.0	7308.0	23155.0	1304.0	794.0	192.0	169.0	45.0	2.0	0.0	38543.0	1544115.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-2.clmp.fp2_r1_screen	3024.0	1310.0	774.0	379.0	261.0	64.0	62.0	9.0	1.0	0.0	8136.0	555898.0
Zdi-ADup_019-Ex1-11H-lcwgs-1-2.clmp.fp2_r2_screen	3114.0	1262.0	732.0	361.0	241.0	73.0	58.0	14.0	0.0	0.0	8450.0	555613.0
Zdi-ADup_020-Ex1-12A-lcwgs-1-2.clmp.fp2_r1_screen	186571.0	46954.0	42505.0	21275.0	15238.0	4499.0	3839.0	680.0	71.0	4.0	653498.0	24157177.0
Zdi-ADup_020-Ex1-12A-lcwgs-1-2.clmp.fp2_r2_screen	184806.0	46969.0	42057.0	21436.0	15082.0	4474.0	3682.0	687.0	19.0	0.0	668488.0	24144611.0
Zdi-ADup_021-Ex1-12B-lcwgs-1-2.clmp.fp2_r1_screen	2184239.0	1215924.0	742659.0	276140.0	185578.0	51253.0	47319.0	8462.0	1336.0	35.0	7647171.0	255755195.0
Zdi-ADup_021-Ex1-12B-lcwgs-1-2.clmp.fp2_r2_screen	2206041.0	1209570.0	740541.0	283372.0	184909.0	50487.0	46117.0	8584.0	487.0	2.0	8005368.0	255379833.0
Zdi-ADup_022-Ex1-12C-lcwgs-1-2.clmp.fp2_r1_screen	3518.0	2186.0	895.0	448.0	287.0	68.0	75.0	20.0	5.0	0.0	13614.0	508084.0
Zdi-ADup_022-Ex1-12C-lcwgs-1-2.clmp.fp2_r2_screen	3423.0	2196.0	936.0	458.0	277.0	91.0	69.0	9.0	0.0	0.0	13921.0	507820.0
Zdi-ADup_023-Ex1-12D-lcwgs-1-2.clmp.fp2_r1_screen	2237.0	1020.0	1628.0	232.0	204.0	57.0	28.0	12.0	3.0	0.0	10626.0	309435.0
Zdi-ADup_023-Ex1-12D-lcwgs-1-2.clmp.fp2_r2_screen	2157.0	1018.0	1661.0	279.0	217.0	44.0	41.0	12.0	0.0	0.0	10781.0	309272.0
Zdi-ADup_024-Ex1-12E-lcwgs-1-2.clmp.fp2_r1_screen	6615.0	37934.0	1414.0	423.0	180.0	36.0	68.0	35.0	0.0	0.0	47110.0	500323.0
Zdi-ADup_024-Ex1-12E-lcwgs-1-2.clmp.fp2_r2_screen	6616.0	37823.0	1440.0	440.0	170.0	34.0	70.0	36.0	0.0	0.0	47126.0	500383.0
Zdi-ADup_025-Ex1-2A-lcwgs-1-2.clmp.fp2_r1_screen	114579.0	44159.0	27801.0	12807.0	8112.0	2243.0	2322.0	459.0	87.0	0.0	338048.0	13318807.0
Zdi-ADup_025-Ex1-2A-lcwgs-1-2.clmp.fp2_r2_screen	115584.0	44080.0	27787.0	13289.0	8035.0	2272.0	2245.0	479.0	5.0	0.0	342388.0	13313260.0
Zdi-ADup_026-Ex1-12G-lcwgs-1-2.clmp.fp2_r1_screen	2397.0	1062.0	871.0	277.0	237.0	46.0	41.0	13.0	1.0	0.0	10345.0	461017.0
Zdi-ADup_026-Ex1-12G-lcwgs-1-2.clmp.fp2_r2_screen	2387.0	1053.0	887.0	286.0	222.0	49.0	42.0	20.0	0.0	0.0	10725.0	460636.0
Zdi-ADup_027-Ex1-12H-lcwgs-1-2.clmp.fp2_r1_screen	24061.0	20495.0	18161.0	2531.0	2211.0	573.0	371.0	143.0	5.0	0.0	124318.0	4083593.0
Zdi-ADup_027-Ex1-12H-lcwgs-1-2.clmp.fp2_r2_screen	24067.0	20431.0	18157.0	2590.0	2236.0	502.0	325.0	125.0	3.0	0.0	126571.0	4081455.0
Zdi-ADup_028-Ex1-9F-lcwgs-1-2.clmp.fp2_r1_screen	2350.0	835.0	811.0	270.0	211.0	45.0	40.0	13.0	4.0	0.0	6995.0	333901.0
Zdi-ADup_028-Ex1-9F-lcwgs-1-2.clmp.fp2_r2_screen	2287.0	838.0	793.0	281.0	176.0	54.0	56.0	13.0	0.0	0.0	7283.0	333694.0
Zdi-ADup_029-Ex1-1A-lcwgs-1-2.clmp.fp2_r1_screen	880.0	942.0	216.0	83.0	81.0	16.0	19.0	4.0	0.0	0.0	4770.0	222084.0
Zdi-ADup_029-Ex1-1A-lcwgs-1-2.clmp.fp2_r2_screen	846.0	928.0	205.0	92.0	83.0	12.0	22.0	10.0	0.0	0.0	4859.0	222038.0
Zdi-ADup_030-Ex1-1B-lcwgs-1-2.clmp.fp2_r1_screen	2223.0	819.0	645.0	246.0	155.0	50.0	57.0	7.0	0.0	0.0	8883.0	480652.0
Zdi-ADup_030-Ex1-1B-lcwgs-1-2.clmp.fp2_r2_screen	2213.0	834.0	675.0	234.0	150.0	57.0	36.0	8.0	0.0	0.0	8927.0	480603.0
Zdi-ADup_031-Ex1-1C-lcwgs-1-2.clmp.fp2_r1_screen	785.0	413.0	166.0	99.0	48.0	17.0	34.0	5.0	0.0	0.0	3543.0	93332.0
Zdi-ADup_031-Ex1-1C-lcwgs-1-2.clmp.fp2_r2_screen	755.0	397.0	194.0	102.0	54.0	21.0	41.0	2.0	0.0	0.0	3563.0	93313.0
Zdi-ADup_032-Ex1-1D-lcwgs-1-2.clmp.fp2_r1_screen	12745.0	43893.0	7838.0	1255.0	864.0	255.0	221.0	73.0	1.0	0.0	57176.0	1693235.0
Zdi-ADup_032-Ex1-1D-lcwgs-1-2.clmp.fp2_r2_screen	12886.0	43567.0	7906.0	1220.0	819.0	286.0	196.0	60.0	1.0	0.0	57926.0	1692689.0
Zdi-ADup_033-Ex1-1E-lcwgs-1-2.clmp.fp2_r1_screen	239.0	171.0	58.0	20.0	28.0	1.0	3.0	0.0	0.0	0.0	810.0	33281.0
Zdi-ADup_033-Ex1-1E-lcwgs-1-2.clmp.fp2_r2_screen	273.0	169.0	57.0	34.0	18.0	5.0	9.0	2.0	0.0	0.0	801.0	33243.0
Zdi-ADup_034-Ex1-1F-lcwgs-1-2.clmp.fp2_r1_screen	2746.0	782.0	608.0	277.0	206.0	78.0	60.0	15.0	0.0	0.0	7094.0	395891.0
Zdi-ADup_034-Ex1-1F-lcwgs-1-2.clmp.fp2_r2_screen	2669.0	781.0	654.0	309.0	227.0	71.0	65.0	12.0	0.0	0.0	7119.0	395850.0
Zdi-ADup_035-Ex1-1G-lcwgs-1-2.clmp.fp2_r1_screen	1712.0	481.0	345.0	206.0	120.0	33.0	32.0	5.0	0.0	0.0	5134.0	215404.0
Zdi-ADup_035-Ex1-1G-lcwgs-1-2.clmp.fp2_r2_screen	1713.0	471.0	337.0	193.0	125.0	29.0	36.0	3.0	0.0	0.0	5250.0	215315.0
Zdi-ADup_036-Ex1-1H-lcwgs-1-2.clmp.fp2_r1_screen	2103.0	4261.0	389.0	180.0	69.0	24.0	44.0	7.0	0.0	0.0	8549.0	248764.0
Zdi-ADup_036-Ex1-1H-lcwgs-1-2.clmp.fp2_r2_screen	2167.0	4230.0	374.0	177.0	97.0	40.0	32.0	11.0	0.0	0.0	8472.0	248790.0
Zdi-ADup_037-Ex1-3D-lcwgs-1-2.clmp.fp2_r1_screen	230172.0	887778.0	42808.0	17028.0	8842.0	2949.0	3358.0	963.0	11.0	0.0	853027.0	26225654.0
Zdi-ADup_037-Ex1-3D-lcwgs-1-2.clmp.fp2_r2_screen	231278.0	885130.0	42819.0	17288.0	8896.0	2916.0	3390.0	1011.0	19.0	1.0	857015.0	26222827.0
Zdi-ADup_038-Ex1-2B-lcwgs-1-2.clmp.fp2_r1_screen	3960.0	985.0	777.0	391.0	291.0	81.0	87.0	18.0	3.0	0.0	12321.0	512366.0
Zdi-ADup_038-Ex1-2B-lcwgs-1-2.clmp.fp2_r2_screen	3955.0	958.0	804.0	396.0	266.0	62.0	90.0	15.0	1.0	0.0	12367.0	512366.0
Zdi-ADup_039-Ex1-2C-lcwgs-1-2.clmp.fp2_r1_screen	224625.0	61213.0	49787.0	27236.0	17573.0	4926.0	5351.0	920.0	164.0	0.0	688716.0	30148114.0
Zdi-ADup_039-Ex1-2C-lcwgs-1-2.clmp.fp2_r2_screen	225355.0	60997.0	49400.0	27549.0	17464.0	5014.0	5265.0	840.0	15.0	0.0	694858.0	30141868.0
Zdi-ADup_040-Ex1-2D-lcwgs-1-2.clmp.fp2_r1_screen	331681.0	95305.0	71732.0	38642.0	27335.0	7605.0	7182.0	1313.0	331.0	0.0	1099338.0	47028630.0
Zdi-ADup_040-Ex1-2D-lcwgs-1-2.clmp.fp2_r2_screen	333402.0	95040.0	71906.0	39428.0	27153.0	7423.0	7111.0	1326.0	35.0	0.0	1117124.0	47009146.0
Zdi-ADup_041-Ex1-2E-lcwgs-1-2.clmp.fp2_r1_screen	145276.0	58907.0	44101.0	16511.0	11355.0	3212.0	3105.0	540.0	128.0	0.0	475155.0	19516830.0
Zdi-ADup_041-Ex1-2E-lcwgs-1-2.clmp.fp2_r2_screen	145884.0	58694.0	43630.0	16562.0	11104.0	3205.0	3083.0	549.0	11.0	0.0	481651.0	19510747.0
Zdi-ADup_042-Ex1-2F-lcwgs-1-2.clmp.fp2_r1_screen	15336.0	8138.0	3200.0	1722.0	1163.0	368.0	294.0	60.0	6.0	0.0	44981.0	2063011.0
Zdi-ADup_042-Ex1-2F-lcwgs-1-2.clmp.fp2_r2_screen	15132.0	8105.0	3169.0	1692.0	1143.0	321.0	321.0	58.0	2.0	0.0	45539.0	2062797.0
Zdi-ADup_043-Ex1-2G-lcwgs-1-2.clmp.fp2_r1_screen	2651.0	1574.0	591.0	271.0	180.0	64.0	55.0	13.0	3.0	0.0	8134.0	320676.0
Zdi-ADup_043-Ex1-2G-lcwgs-1-2.clmp.fp2_r2_screen	2688.0	1557.0	609.0	311.0	172.0	56.0	64.0	9.0	0.0	0.0	8237.0	320509.0
Zdi-ADup_044-Ex1-2H-lcwgs-1-2.clmp.fp2_r1_screen	9810.0	6513.0	2228.0	996.0	663.0	206.0	195.0	35.0	10.0	0.0	34133.0	1098645.0
Zdi-ADup_044-Ex1-2H-lcwgs-1-2.clmp.fp2_r2_screen	9818.0	6424.0	2175.0	1044.0	694.0	201.0	192.0	39.0	1.0	0.0	34316.0	1098530.0
Zdi-ADup_045-Ex1-3A-lcwgs-1-2.clmp.fp2_r1_screen	2777.0	2325.0	454.0	287.0	186.0	44.0	52.0	13.0	1.0	0.0	8751.0	326606.0
Zdi-ADup_045-Ex1-3A-lcwgs-1-2.clmp.fp2_r2_screen	2799.0	2286.0	509.0	276.0	158.0	41.0	47.0	15.0	1.0	0.0	8758.0	326606.0
Zdi-ADup_046-Ex1-3B-lcwgs-1-2.clmp.fp2_r1_screen	880.0	749.0	139.0	75.0	56.0	8.0	14.0	2.0	0.0	0.0	2639.0	95251.0
Zdi-ADup_046-Ex1-3B-lcwgs-1-2.clmp.fp2_r2_screen	884.0	748.0	121.0	91.0	52.0	14.0	12.0	4.0	0.0	0.0	2676.0	95211.0
Zdi-ADup_047-Ex1-3C-lcwgs-1-2.clmp.fp2_r1_screen	66527.0	36608.0	14333.0	7730.0	4687.0	1467.0	1398.0	254.0	1.0	0.0	266843.0	8626051.0
Zdi-ADup_047-Ex1-3C-lcwgs-1-2.clmp.fp2_r2_screen	67246.0	36299.0	14280.0	7770.0	4740.0	1530.0	1349.0	264.0	4.0	0.0	269976.0	8622441.0
Zdi-CDup_001-Ex1-5D-lcwgs-1-2.clmp.fp2_r1_screen	63384.0	11803.0	11699.0	7096.0	5685.0	1184.0	899.0	471.0	12.0	0.0	315387.0	8300953.0
Zdi-CDup_001-Ex1-5D-lcwgs-1-2.clmp.fp2_r2_screen	62132.0	11759.0	11591.0	6988.0	5663.0	1216.0	884.0	440.0	6.0	0.0	328275.0	8289619.0
Zdi-CDup_002-Ex1-5E-lcwgs-1-2.clmp.fp2_r1_screen	60470.0	5964.0	12406.0	6835.0	5780.0	1180.0	977.0	297.0	9.0	0.0	247885.0	8896099.0
Zdi-CDup_002-Ex1-5E-lcwgs-1-2.clmp.fp2_r2_screen	60572.0	5968.0	12226.0	6845.0	5663.0	1231.0	991.0	301.0	8.0	0.0	255388.0	8888709.0
Zdi-CDup_003-Ex1-5F-lcwgs-1-2.clmp.fp2_r1_screen	39616.0	5722.0	7412.0	4745.0	3853.0	772.0	560.0	350.0	4.0	0.0	209852.0	5109463.0
Zdi-CDup_003-Ex1-5F-lcwgs-1-2.clmp.fp2_r2_screen	39738.0	5716.0	7265.0	4702.0	3753.0	764.0	535.0	377.0	3.0	0.0	214338.0	5105158.0
Zdi-CDup_004-Ex1-5G-lcwgs-1-2.clmp.fp2_r1_screen	22990.0	3342.0	4479.0	2582.0	2219.0	457.0	398.0	143.0	5.0	0.0	102864.0	3081724.0
Zdi-CDup_004-Ex1-5G-lcwgs-1-2.clmp.fp2_r2_screen	22808.0	3289.0	4420.0	2577.0	2200.0	437.0	379.0	138.0	6.0	0.0	106446.0	3078503.0
Zdi-CDup_005-Ex1-5H-lcwgs-1-2.clmp.fp2_r1_screen	92540.0	27551.0	19229.0	10910.0	9412.0	1911.0	1541.0	496.0	14.0	0.0	423674.0	12376914.0
Zdi-CDup_005-Ex1-5H-lcwgs-1-2.clmp.fp2_r2_screen	93092.0	27382.0	18900.0	11015.0	9286.0	1921.0	1471.0	538.0	12.0	0.0	435329.0	12365246.0
Zdi-CDup_006-Ex1-6A-lcwgs-1-2.clmp.fp2_r1_screen	122451.0	16527.0	25533.0	14374.0	12592.0	2629.0	2041.0	1065.0	26.0	0.0	595547.0	17266084.0
Zdi-CDup_006-Ex1-6A-lcwgs-1-2.clmp.fp2_r2_screen	122095.0	16212.0	25254.0	14512.0	12811.0	2637.0	1980.0	1100.0	24.0	0.0	616025.0	17246219.0
Zdi-CDup_007-Ex1-6B-lcwgs-1-2.clmp.fp2_r1_screen	76799.0	10605.0	14651.0	8638.0	7238.0	1476.0	1187.0	460.0	3.0	0.0	347605.0	10532782.0
Zdi-CDup_007-Ex1-6B-lcwgs-1-2.clmp.fp2_r2_screen	76868.0	10502.0	14742.0	8719.0	7141.0	1410.0	1186.0	460.0	16.0	0.0	355319.0	10525081.0
Zdi-CDup_008-Ex1-6C-lcwgs-1-2.clmp.fp2_r1_screen	79592.0	12885.0	16475.0	9167.0	8162.0	1611.0	1292.0	408.0	11.0	0.0	338422.0	10947198.0
Zdi-CDup_008-Ex1-6C-lcwgs-1-2.clmp.fp2_r2_screen	79603.0	12859.0	16411.0	9267.0	8073.0	1575.0	1285.0	405.0	10.0	0.0	348810.0	10936925.0
Zdi-CDup_010-Ex1-6D-lcwgs-1-2.clmp.fp2_r1_screen	157301.0	24311.0	30909.0	17725.0	15019.0	2958.0	2524.0	910.0	31.0	0.0	696392.0	20214414.0
Zdi-CDup_010-Ex1-6D-lcwgs-1-2.clmp.fp2_r2_screen	154771.0	24038.0	30166.0	17941.0	15223.0	2936.0	2326.0	966.0	41.0	0.0	722951.0	20191135.0
Zdi-CDup_011-Ex1-6E-lcwgs-1-2.clmp.fp2_r1_screen	112690.0	13449.0	22950.0	12765.0	11037.0	2380.0	1957.0	614.0	21.0	0.0	461482.0	16185518.0
Zdi-CDup_011-Ex1-6E-lcwgs-1-2.clmp.fp2_r2_screen	112810.0	13580.0	23044.0	12963.0	11002.0	2412.0	1932.0	588.0	18.0	0.0	481186.0	16165328.0
Zdi-CDup_012-Ex1-6F-lcwgs-1-2.clmp.fp2_r1_screen	40334.0	11095.0	7504.0	4441.0	3665.0	764.0	594.0	201.0	8.0	0.0	230611.0	5063092.0
Zdi-CDup_012-Ex1-6F-lcwgs-1-2.clmp.fp2_r2_screen	39790.0	11030.0	7520.0	4528.0	3565.0	757.0	517.0	235.0	8.0	0.0	234485.0	5059874.0
Zdi-CDup_013-Ex1-6G-lcwgs-1-2.clmp.fp2_r1_screen	21958.0	3278.0	3847.0	2354.0	1863.0	366.0	362.0	118.0	5.0	0.0	91370.0	2877351.0
Zdi-CDup_013-Ex1-6G-lcwgs-1-2.clmp.fp2_r2_screen	21650.0	3316.0	3730.0	2357.0	1896.0	391.0	312.0	115.0	1.0	0.0	94455.0	2874649.0
Zdi-CDup_014-Ex1-6H-lcwgs-1-2.clmp.fp2_r1_screen	50041.0	5802.0	9454.0	5315.0	4317.0	834.0	786.0	219.0	4.0	0.0	206746.0	6786733.0
Zdi-CDup_014-Ex1-6H-lcwgs-1-2.clmp.fp2_r2_screen	48902.0	5708.0	9409.0	5371.0	4263.0	892.0	741.0	195.0	11.0	1.0	213681.0	6781077.0
Zdi-CDup_015-Ex1-7A-lcwgs-1-2.clmp.fp2_r1_screen	12043.0	1717.0	2436.0	1338.0	1237.0	259.0	192.0	77.0	48.0	0.0	52863.0	1746663.0
Zdi-CDup_015-Ex1-7A-lcwgs-1-2.clmp.fp2_r2_screen	11899.0	1634.0	2436.0	1364.0	1211.0	269.0	183.0	85.0	1.0	0.0	55129.0	1744662.0
Zdi-CDup_016-Ex1-7B-lcwgs-1-2.clmp.fp2_r1_screen	92964.0	11827.0	18928.0	10709.0	8953.0	1902.0	1464.0	643.0	441.0	0.0	436206.0	12904103.0
Zdi-CDup_016-Ex1-7B-lcwgs-1-2.clmp.fp2_r2_screen	92844.0	11705.0	18692.0	10920.0	8955.0	1872.0	1387.0	620.0	15.0	1.0	447816.0	12893313.0
Zdi-CDup_017-Ex1-7C-lcwgs-1-2.clmp.fp2_r1_screen	54434.0	14511.0	11272.0	6412.0	5419.0	1179.0	839.0	291.0	280.0	0.0	230432.0	7863062.0
Zdi-CDup_017-Ex1-7C-lcwgs-1-2.clmp.fp2_r2_screen	54386.0	14458.0	11286.0	6438.0	5379.0	1234.0	891.0	268.0	8.0	0.0	236453.0	7857330.0
Zdi-CDup_018-Ex1-7D-lcwgs-1-2.clmp.fp2_r1_screen	121974.0	21532.0	23657.0	14299.0	12163.0	2415.0	1801.0	1208.0	915.0	0.0	672950.0	15754001.0
Zdi-CDup_018-Ex1-7D-lcwgs-1-2.clmp.fp2_r2_screen	119845.0	21226.0	23388.0	14067.0	12196.0	2339.0	1636.0	1281.0	25.0	0.0	693537.0	15737375.0
Zdi-CDup_019-Ex1-7E-lcwgs-1-2.clmp.fp2_r1_screen	61671.0	5806.0	12705.0	7158.0	6098.0	1236.0	1066.0	351.0	138.0	0.0	273198.0	8685153.0
Zdi-CDup_019-Ex1-7E-lcwgs-1-2.clmp.fp2_r2_screen	61495.0	5725.0	12644.0	7318.0	6086.0	1239.0	1021.0	317.0	5.0	0.0	280821.0	8677909.0
Zdi-CDup_021-Ex1-7G-lcwgs-1-2.clmp.fp2_r1_screen	64320.0	6826.0	13366.0	7194.0	6030.0	1338.0	1127.0	338.0	652.0	0.0	264580.0	9362175.0
Zdi-CDup_021-Ex1-7G-lcwgs-1-2.clmp.fp2_r2_screen	63346.0	6693.0	13334.0	7504.0	6035.0	1268.0	1087.0	316.0	11.0	0.0	277851.0	9350501.0
Zdi-CDup_022-Ex1-7H-lcwgs-1-2.clmp.fp2_r1_screen	50009.0	3820.0	10102.0	5769.0	4536.0	1047.0	785.0	250.0	177.0	0.0	195333.0	7450533.0
Zdi-CDup_022-Ex1-7H-lcwgs-1-2.clmp.fp2_r2_screen	50503.0	3775.0	10162.0	5868.0	4530.0	1048.0	829.0	258.0	6.0	0.0	201799.0	7443583.0
Zdi-CDup_026-Ex1-8D-lcwgs-1-2.clmp.fp2_r1_screen	53161.0	6016.0	11177.0	5812.0	5003.0	1102.0	841.0	290.0	5.0	0.0	222322.0	7934921.0
Zdi-CDup_026-Ex1-8D-lcwgs-1-2.clmp.fp2_r2_screen	51196.0	5945.0	11182.0	6015.0	5022.0	1147.0	848.0	263.0	8.0	0.0	232343.0	7926681.0
Zdi-CDup_031-Ex1-9A-lcwgs-1-2.clmp.fp2_r1_screen	51792.0	5169.0	10773.0	6142.0	5121.0	1110.0	869.0	398.0	76.0	0.0	239707.0	7550334.0
Zdi-CDup_031-Ex1-9A-lcwgs-1-2.clmp.fp2_r2_screen	51780.0	5128.0	10725.0	6110.0	5000.0	1103.0	807.0	430.0	15.0	0.0	247931.0	7542462.0
Zdi-CDup_033-Ex1-9C-lcwgs-1-2.clmp.fp2_r1_screen	45114.0	6097.0	8536.0	4812.0	3881.0	830.0	697.0	221.0	59.0	0.0	198463.0	5894363.0
Zdi-CDup_033-Ex1-9C-lcwgs-1-2.clmp.fp2_r2_screen	42635.0	6051.0	8386.0	4839.0	3909.0	828.0	623.0	207.0	10.0	0.0	209234.0	5886351.0
Zdi-CDup_034-Ex1-9D-lcwgs-1-2.clmp.fp2_r1_screen	84131.0	10057.0	15125.0	8676.0	6918.0	1507.0	1255.0	461.0	120.0	0.0	364057.0	10645841.0
