Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Zdi-ADup_001-Ex1-11B-lcwgs-1-2.clmp.fp2_r1_screen	23198.0	33616.0	5719.0	2511.0	1876.0	511.0	443.0	113.0	4.0	0.0	103491.0	3027803.0
Zdi-ADup_001-Ex1-11B-lcwgs-1-2.clmp.fp2_r2_screen	23289.0	33478.0	5533.0	2598.0	1900.0	558.0	444.0	108.0	3.0	0.0	105491.0	3025883.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-2.clmp.fp2_r1_screen	2734.0	1381.0	776.0	369.0	253.0	59.0	64.0	14.0	4.0	0.0	8842.0	427427.0
Zdi-ADup_002-Ex1-9G-lcwgs-1-2.clmp.fp2_r2_screen	2890.0	1353.0	753.0	332.0	240.0	60.0	52.0	11.0	0.0	0.0	9026.0	427206.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-2.clmp.fp2_r1_screen	6182.0	3240.0	2246.0	741.0	559.0	149.0	112.0	31.0	21.0	0.0	20377.0	989357.0
Zdi-ADup_003-Ex1-9H-lcwgs-1-2.clmp.fp2_r2_screen	6360.0	3319.0	2224.0	744.0	545.0	152.0	123.0	27.0	0.0	0.0	20880.0	988641.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-2.clmp.fp2_r1_screen	12541.0	16579.0	5207.0	1377.0	995.0	258.0	266.0	52.0	6.0	0.0	43658.0	1701838.0
Zdi-ADup_004-Ex1-10A-lcwgs-1-2.clmp.fp2_r2_screen	12550.0	16480.0	5235.0	1441.0	1015.0	285.0	278.0	57.0	1.0	0.0	44845.0	1700590.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-2.clmp.fp2_r1_screen	3494.0	1795.0	1620.0	454.0	303.0	79.0	49.0	13.0	5.0	0.0	12570.0	553754.0
Zdi-ADup_005-Ex1-10B-lcwgs-1-2.clmp.fp2_r2_screen	3495.0	1772.0	1637.0	421.0	280.0	80.0	65.0	25.0	2.0	0.0	13007.0	553352.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-2.clmp.fp2_r1_screen	4859.0	3435.0	1216.0	604.0	401.0	107.0	79.0	24.0	5.0	0.0	17023.0	693093.0
Zdi-ADup_006-Ex1-10C-lcwgs-1-2.clmp.fp2_r2_screen	4791.0	3384.0	1124.0	617.0	386.0	132.0	103.0	26.0	1.0	0.0	17622.0	692660.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-2.clmp.fp2_r1_screen	3809.0	2574.0	872.0	450.0	368.0	91.0	69.0	53.0	11.0	0.0	20744.0	619194.0
Zdi-ADup_007-Ex1-10D-lcwgs-1-2.clmp.fp2_r2_screen	3818.0	2563.0	902.0	446.0	382.0	94.0	54.0	56.0	1.0	0.0	20920.0	618999.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-2.clmp.fp2_r1_screen	23.0	75.0	9.0	5.0	5.0	1.0	0.0	0.0	0.0	0.0	136.0	3930.0
Zdi-ADup_008-Ex1-10E-lcwgs-1-2.clmp.fp2_r2_screen	22.0	74.0	11.0	4.0	2.0	1.0	0.0	0.0	0.0	0.0	145.0	3925.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-2.clmp.fp2_r1_screen	45722.0	33429.0	61838.0	5440.0	4098.0	1003.0	883.0	202.0	24.0	0.0	148627.0	8481980.0
Zdi-ADup_009-Ex1-10F-lcwgs-1-2.clmp.fp2_r2_screen	45908.0	33519.0	61785.0	5617.0	3976.0	951.0	877.0	166.0	7.0	0.0	153730.0	8476710.0
Zdi-ADup_010-Ex1-10G-lcwgs-1-2.clmp.fp2_r1_screen	17312.0	9873.0	5189.0	2066.0	1546.0	362.0	285.0	104.0	36.0	0.0	75604.0	2407286.0
