Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Zdi-ADup_001-Ex1-11B-lcwgs-1-2.clmp.r1	Zdi-ADup_001-Ex1-11B-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3231781.0	0.0	33-150	40.0	98.25244189376473	95.9578659568826	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass
Zdi-ADup_001-Ex1-11B-lcwgs-1-2.clmp.r2	Zdi-ADup_001-Ex1-11B-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3231781.0	0.0	33-150	40.0	98.09145883988995	96.0983324674537	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass
Zdi-ADup_002-Ex1-9G-lcwgs-1-2.clmp.r1	Zdi-ADup_002-Ex1-9G-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	445693.0	0.0	33-150	39.0	99.67893259829094	83.01632289490747	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_002-Ex1-9G-lcwgs-1-2.clmp.r2	Zdi-ADup_002-Ex1-9G-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	445693.0	0.0	33-150	39.0	99.57215928076396	83.14998889370037	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_003-Ex1-9H-lcwgs-1-2.clmp.r1	Zdi-ADup_003-Ex1-9H-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1031469.0	0.0	33-150	40.0	99.55030757133629	84.87731962860735	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_003-Ex1-9H-lcwgs-1-2.clmp.r2	Zdi-ADup_003-Ex1-9H-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1031469.0	0.0	33-150	40.0	99.47403292041321	85.01320446857831	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_004-Ex1-10A-lcwgs-1-2.clmp.r1	Zdi-ADup_004-Ex1-10A-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1798676.0	0.0	33-150	38.0	99.04351549783564	98.03434859863589	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_004-Ex1-10A-lcwgs-1-2.clmp.r2	Zdi-ADup_004-Ex1-10A-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1798676.0	0.0	33-150	38.0	98.90508658194582	98.17952760808505	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_005-Ex1-10B-lcwgs-1-2.clmp.r1	Zdi-ADup_005-Ex1-10B-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	579525.0	0.0	33-150	39.0	99.65819018639527	86.02789525904836	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Zdi-ADup_005-Ex1-10B-lcwgs-1-2.clmp.r2	Zdi-ADup_005-Ex1-10B-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	579525.0	0.0	33-150	40.0	99.57663488829563	86.16970104827229	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Zdi-ADup_006-Ex1-10C-lcwgs-1-2.clmp.r1	Zdi-ADup_006-Ex1-10C-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	727149.0	0.0	33-150	38.0	99.50644764133291	96.84386281216092	pass	pass	fail	pass	pass	fail	pass	warn	pass	pass	pass
Zdi-ADup_006-Ex1-10C-lcwgs-1-2.clmp.r2	Zdi-ADup_006-Ex1-10C-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	727149.0	0.0	33-150	38.0	99.39148671245812	96.97770195654536	pass	pass	fail	pass	pass	warn	pass	warn	pass	pass	pass
Zdi-ADup_007-Ex1-10D-lcwgs-1-2.clmp.r1	Zdi-ADup_007-Ex1-10D-lcwgs-1-2.clmp.r1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	654641.0	0.0	33-150	43.0	98.50220565358649	82.81603504821727	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Zdi-ADup_007-Ex1-10D-lcwgs-1-2.clmp.r2	Zdi-ADup_007-Ex1-10D-lcwgs-1-2.clmp.r2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	654641.0	0.0	33-150	43.0	98.50491738599445	83.00332854190312	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
